Date,Combined Economy Score,InvertandBearFinal
1998-06-02,66.21200732377024,1.0
1998-06-03,66.10895035438196,1.0
1998-06-04,65.98111817306301,1.0
1998-06-05,65.9552303019139,1.0
1998-06-08,65.85805806350317,1.0
1998-06-09,65.78876411995455,1.0
1998-06-10,65.86846760863571,1.0
1998-06-11,66.2485643605362,1.0
1998-06-12,66.29428229153402,1.0
1998-06-15,66.35364884227808,1.0
1998-06-16,58.49637087651585,1.0
1998-06-17,58.718643099720225,1.0
1998-06-18,58.85117317551705,1.0
1998-06-19,58.94990313683359,1.0
1998-06-22,59.0535411615915,1.0
1998-06-23,59.1215370027186,1.0
1998-06-24,59.108246906498294,1.0
1998-06-25,59.05931462664719,1.0
1998-06-26,59.129733592294464,1.0
1998-06-29,58.44531218126949,1.0
1998-06-30,58.533100993604684,1.0
1998-07-01,58.57058524638602,1.0
1998-07-02,58.602289852671554,1.0
1998-07-03,58.65334854791791,1.0
1998-07-06,58.77608722259242,1.0
1998-07-07,58.7672724890063,1.0
1998-07-08,58.73838043796739,1.0
1998-07-09,58.825266760047626,1.0
1998-07-10,58.79280183662948,1.0
1998-07-13,58.63055139682002,1.0
1998-07-14,59.59258128284662,1.0
1998-07-15,59.57712768259047,1.0
1998-07-16,59.989553366226836,1.0
1998-07-17,59.954813672850996,1.0
1998-07-20,60.11554347839525,1.0
1998-07-21,60.236155737674515,1.0
1998-07-22,60.317355134860485,1.0
1998-07-23,60.39362174284467,1.0
1998-07-24,60.39715752658328,1.0
1998-07-27,60.403437869727384,1.0
1998-07-28,60.3758810097506,1.0
1998-07-29,60.35746031824526,1.0
1998-07-30,60.410435259923375,1.0
1998-07-31,60.43137797899052,1.0
1998-08-03,59.83798445491443,1.0
1998-08-04,59.923387231370064,1.0
1998-08-05,59.974557192538256,1.0
1998-08-06,59.94613493094714,1.0
1998-08-07,60.078306483218014,1.0
1998-08-10,61.76674212144552,1.0
1998-08-11,61.89750430537303,1.0
1998-08-12,61.8612810663726,1.0
1998-08-13,62.235357095613274,1.0
1998-08-14,62.35239648251333,1.0
1998-08-17,62.36691050387391,1.0
1998-08-18,56.03433419090512,1.0
1998-08-19,56.07384595604007,1.0
1998-08-20,56.167049709905015,1.0
1998-08-21,56.38093990033046,1.0
1998-08-24,56.48688978368669,1.0
1998-08-25,56.66604028073628,1.0
1998-08-26,56.815903114580415,1.0
1998-08-27,57.0846103158345,1.0
1998-08-28,57.21150291825787,1.0
1998-08-31,55.48947733451358,1.0
1998-09-01,55.6006938048371,1.0
1998-09-02,55.58031977825938,1.0
1998-09-03,55.78774418233765,1.0
1998-09-04,55.91867944658803,1.0
1998-09-07,56.093737830289804,1.0
1998-09-08,56.14139673347979,1.0
1998-09-09,56.37164301441635,1.0
1998-09-10,57.73242523857268,1.0
1998-09-11,57.74935002157323,1.0
1998-09-14,57.833046720560574,1.0
1998-09-15,57.904034378697276,1.0
1998-09-16,58.34154434626944,1.0
1998-09-17,61.321443539344244,1.0
1998-09-18,61.60921430187434,1.0
1998-09-21,61.76203186408744,1.0
1998-09-22,61.781268505686306,1.0
1998-09-23,62.01003124099827,1.0
1998-09-24,62.17754826777504,1.0
1998-09-25,62.35730454595468,1.0
1998-09-28,62.504014845346546,1.0
1998-09-29,62.72479116004613,1.0
1998-09-30,63.15851808627559,1.0
1998-10-01,63.715305122064905,1.0
1998-10-02,63.83571957526088,1.0
1998-10-05,62.458123834025855,1.0
1998-10-06,62.48610103192961,1.0
1998-10-07,62.30981872308755,1.0
