Date,T10Y2Y,Close,TenYield,CPIUS,m2,unemp_rate,Trade Balance,Shiller_PE,Inverted12months,SP Daily Return,Cumulative Returns,Trade Balance MoM,Trade Balance YoY,Trade Balance Rolling 12,Real_Yield,CPI YoY
2000-01-01,0.21,1469.25,6.434999942779541,169.1,4683.9,4.0,-28003.0,43.77,0,,,0.0,0.0,,,
2000-01-02,0.21,1469.25,6.434999942779541,169.1,4683.9,4.0,-28003.0,43.77,0,0.0,0.0,0.0,0.0,,,
2000-01-03,0.2,1455.219970703125,6.547999858856201,169.1,4683.9,4.0,-28003.0,43.77,0,-0.009549109611621587,-0.009549109611621587,0.0,0.0,,,
2000-01-04,0.19,1399.4200439453125,6.485000133514404,169.1,4683.9,4.0,-28003.0,43.77,0,-0.03834466807849768,-0.0475276202516165,0.0,0.0,,,
2000-01-05,0.24,1402.1099853515625,6.598999977111816,169.1,4683.9,4.0,-28003.0,43.77,0,0.0019221829913671495,-0.04569679404351712,0.0,0.0,,,
2000-01-06,0.22,1403.449951171875,6.548999786376953,169.1,4683.9,4.0,-28003.0,43.77,0,0.0009556781096431433,-0.04478478735962221,0.0,0.0,,,
2000-01-07,0.21,1441.469970703125,6.504000186920166,169.1,4683.9,4.0,-28003.0,43.77,0,0.027090399268961063,-0.018907625861408817,0.0,0.0,,,
2000-01-08,0.21,1441.469970703125,6.504000186920166,169.1,4683.9,4.0,-28003.0,43.77,0,0.0,-0.018907625861408817,0.0,0.0,,,
2000-01-09,0.21,1441.469970703125,6.504000186920166,169.1,4683.9,4.0,-28003.0,43.77,0,0.0,-0.018907625861408817,0.0,0.0,,,
2000-01-10,0.19,1457.5999755859375,6.558000087738037,169.1,4683.9,4.0,-28003.0,43.77,0,0.011189969413615053,-0.00792923220286701,0.0,0.0,,,
2000-01-11,0.22,1438.56005859375,6.664000034332275,169.1,4683.9,4.0,-28003.0,43.77,0,-0.013062511876438365,-0.020888168389484374,0.0,0.0,,,
2000-01-12,0.23,1432.25,6.696000099182129,169.1,4683.9,4.0,-28003.0,43.77,0,-0.004386371327394056,-0.02518291645397297,0.0,0.0,,,
2000-01-13,0.23,1449.6800537109375,6.618000030517578,169.1,4683.9,4.0,-28003.0,43.77,0,0.012169700618563484,-0.0133196843893566,0.0,0.0,0.0,0.23,
2000-01-14,0.25,1465.1500244140625,6.673999786376953,169.1,4683.9,4.0,-28003.0,43.77,0,0.010671299962722536,-0.0027905227741616967,0.0,0.0,0.0,0.25,
2000-01-15,0.25,1465.1500244140625,6.673999786376953,169.1,4683.9,4.0,-28003.0,43.77,0,0.0,-0.0027905227741616967,0.0,0.0,0.0,0.25,
2000-01-16,0.25,1465.1500244140625,6.673999786376953,169.1,4683.9,4.0,-28003.0,43.77,0,0.0,-0.0027905227741616967,0.0,0.0,0.0,0.25,
2000-01-17,0.25,1465.1500244140625,6.673999786376953,169.1,4683.9,4.0,-28003.0,43.77,0,0.0,-0.0027905227741616967,0.0,0.0,0.0,0.25,
2000-01-18,0.28,1455.1400146484375,6.748000144958496,169.1,4683.9,4.0,-28003.0,43.77,0,-0.00683207152771137,-0.00960352925068031,0.0,0.0,0.0,0.28,
2000-01-19,0.27,1455.9000244140625,6.724999904632568,169.1,4683.9,4.0,-28003.0,43.77,0,0.0005222932212531894,-0.009086251887654884,0.0,0.0,0.0,0.27,
2000-01-20,0.3,1445.5699462890625,6.748000144958496,169.1,4683.9,4.0,-28003.0,43.77,0,-0.007095321074094607,-0.016117103087246454,0.0,0.0,0.0,0.3,
2000-01-21,0.31,1441.3599853515625,6.781000137329102,169.1,4683.9,4.0,-28003.0,43.77,0,-0.0029123190810015354,-0.018982484021396573,0.0,0.0,0.0,0.31,
2000-01-22,0.31,1441.3599853515625,6.781000137329102,169.1,4683.9,4.0,-28003.0,43.77,0,0.0,-0.018982484021396573,0.0,0.0,0.0,0.31,
2000-01-23,0.31,1441.3599853515625,6.781000137329102,169.1,4683.9,4.0,-28003.0,43.77,0,0.0,-0.018982484021396573,0.0,0.0,0.0,0.31,
2000-01-24,0.26,1401.530029296875,6.684000015258789,169.1,4683.9,4.0,-28003.0,43.77,0,-0.027633593591799732,-0.046091523364386155,0.0,0.0,0.0,0.26,
2000-01-25,0.26,1410.030029296875,6.684000015258789,169.1,4683.9,4.0,-28003.0,43.77,0,0.006064800483985611,-0.040306258773608494,0.0,0.0,0.0,0.26,
2000-01-26,0.24,1404.0899658203125,6.679999828338623,169.1,4683.9,4.0,-28003.0,43.77,0,-0.00421272125638672,-0.04434918099689422,0.0,0.0,0.0,0.24,
2000-01-27,0.17,1398.56005859375,6.684999942779541,169.1,4683.9,4.0,-28003.0,43.77,0,-0.00393842799334565,-0.04811294293431978,0.0,0.0,0.0,0.17,
2000-01-28,0.08,1360.1600341796875,6.6479997634887695,169.1,4683.9,4.0,-28003.0,43.77,0,-0.027456829027902918,-0.07424874311404583,0.0,0.0,0.0,0.08,
2000-01-29,0.08,1360.1600341796875,6.6479997634887695,169.1,4683.9,4.0,-28003.0,43.77,0,0.0,-0.07424874311404583,0.0,0.0,0.0,0.08,
2000-01-30,0.08,1360.1600341796875,6.6479997634887695,169.1,4683.9,4.0,-28003.0,43.77,0,0.0,-0.07424874311404583,0.0,0.0,0.0,0.08,
2000-01-31,0.07,1394.4599609375,6.666999816894531,169.1,4683.9,4.0,-28003.0,43.77,0,0.025217566974388372,-0.050903548791900066,0.0,0.0,0.0,0.07,
2000-02-01,0.02,1409.280029296875,6.617000102996826,170.0,4683.7,4.1,-29241.0,42.18,0,0.01062781920924527,-0.04081672329632413,-0.04420954897689533,-0.04420954897689533,0.0036841290814079533,-0.5122294500295754,
2000-02-02,-0.03,1409.1199951171875,6.5980000495910645,170.0,4683.7,4.1,-29241.0,42.18,1,-0.00011355740261742575,-0.04092564565786072,0.0,-0.04420954897689533,0.0073682581628159065,-0.5622294500295755,
2000-02-03,-0.07,1424.969970703125,6.474999904632568,170.0,4683.7,4.1,-29241.0,42.18,1,0.011248137590027962,-0.03013784536115316,0.0,-0.04420954897689533,0.01105238724422386,-0.6022294500295755,
2000-02-04,-0.1,1424.3699951171875,6.517000198364258,170.0,4683.7,4.1,-29241.0,42.18,1,-0.000421044371651913,-0.030546200362641995,0.0,-0.04420954897689533,0.014736516325631813,-0.6322294500295754,
2000-02-05,-0.1,1424.3699951171875,6.517000198364258,170.0,4683.7,4.1,-29241.0,42.18,1,0.0,-0.030546200362641995,0.0,-0.04420954897689533,0.018420645407039766,-0.6322294500295754,
2000-02-06,-0.1,1424.3699951171875,6.517000198364258,170.0,4683.7,4.1,-29241.0,42.18,1,0.0,-0.030546200362641995,0.0,-0.04420954897689533,0.02210477448844772,-0.6322294500295754,
2000-02-07,-0.04,1424.239990234375,6.63100004196167,170.0,4683.7,4.1,-29241.0,42.18,1,-9.127184878798822e-05,-0.03063468420324944,0.0,-0.04420954897689533,0.025788903569855675,-0.5722294500295755,
2000-02-08,-0.1,1441.719970703125,6.598999977111816,170.0,4683.7,4.1,-29241.0,42.18,1,0.012273198750635705,-0.01873747102050316,0.0,-0.04420954897689533,0.029473032651263626,-0.6322294500295754,
2000-02-09,-0.13,1411.7099609375,6.669000148773193,170.0,4683.7,4.1,-29241.0,42.18,1,-0.02081542211764542,-0.03916286476943964,0.0,-0.04420954897689533,0.03315716173267158,-0.6622294500295755,
