,Date,Symbol,Return
119,2019-11-30,ACWI,0.046341486980466584
120,2019-12-31,ACWI,0.015097705702777464
121,2020-01-31,ACWI,-0.0024376543748941826
122,2020-02-29,ACWI,-0.09044866633523185
123,2020-03-31,ACWI,-0.10744463041231422
124,2020-04-30,ACWI,0.1004863662036144
125,2020-05-31,ACWI,0.02889761415455805
126,2020-06-30,ACWI,0.012521219401019357
127,2020-07-31,ACWI,-0.0011415351961013842
128,2020-08-31,ACWI,0.06613081777310947
129,2020-09-30,ACWI,-0.015578623083314591
130,2020-10-31,ACWI,-0.03215853001445035
131,2020-11-30,ACWI,0.09994370585702295
132,2020-12-31,ACWI,0.018377073266184096
133,2021-01-31,ACWI,0.0038501380399615925
134,2021-02-28,ACWI,0.03461846760589249
135,2021-03-31,ACWI,0.062342916722360586
136,2021-04-30,ACWI,0.014989666888831854
137,2021-05-31,ACWI,-0.0026607085164226385
138,2021-06-30,ACWI,0.04526238178623565
139,2021-07-31,ACWI,0.02179467670791979
140,2021-08-31,ACWI,0.028598719997841693
141,2021-09-30,ACWI,-0.020764026063592733
142,2021-10-31,ACWI,0.05714839341392075
143,2021-11-30,ACWI,0.007907302651998904
144,2021-12-31,ACWI,0.035094115979361185
145,2022-01-31,ACWI,-0.04451520905951556
146,2022-02-28,ACWI,-0.028979393977539125
147,2022-03-31,ACWI,0.047135466007186544
148,2022-04-30,ACWI,-0.0442596124811373
149,2022-05-31,ACWI,-0.01115554827621923
150,2022-06-30,ACWI,-0.0679360002451953
151,2022-07-31,ACWI,0.1119442568164879
152,2022-08-31,ACWI,-0.029522633168035828
153,2022-09-30,ACWI,-0.0703069331604611
154,2022-10-31,ACWI,0.06494234513624986
155,2022-11-30,ACWI,0.014782675787957222
156,2022-12-31,ACWI,-0.06736379461295305
157,2023-01-31,ACWI,0.053544309605704665
158,2023-02-28,ACWI,0.0026326338347149036
159,2023-03-31,ACWI,0.0030402866447534205
160,2023-04-30,ACWI,0.001983924264001402
161,2023-05-31,ACWI,0.02642802786555487
162,2023-06-30,ACWI,0.037268213252239946
163,2023-07-31,ACWI,0.021903643792113625
164,2023-08-31,ACWI,-0.006040957832953442
165,2023-09-30,ACWI,-0.021310172496600166
166,2023-10-31,ACWI,-0.027802309752307353
167,2023-11-30,ACWI,0.058771682989443796
168,2023-12-31,ACWI,0.03836921819171901
169,2024-01-31,ACWI,0.03150605292835862
170,2024-02-29,ACWI,0.04286960605705348
171,2024-03-31,ACWI,0.03645195395259537
172,2024-04-30,ACWI,-0.025597972503703437
173,2024-05-31,ACWI,0.01655892260088443
174,2024-06-30,ACWI,0.043606483868421586
175,2024-07-31,ACWI,0.006011386802981855
176,2024-08-31,ACWI,-0.0031659708046687385
177,2024-09-30,ACWI,0.018488171822493626
178,2024-10-31,ACWI,0.0030357342195193038
179,2024-11-30,ACWI,0.07751697371432442
180,2024-12-31,ACWI,-0.009840439450800154
181,2025-01-31,ACWI,0.03463917395240479
182,2025-02-28,ACWI,-0.006108424770920773
183,2025-03-31,ACWI,-0.08194224095386082
184,2025-04-30,ACWI,-0.03914476113286702
185,2025-05-31,ACWI,0.05754580237635043
186,2025-06-30,ACWI,0.012703431086664274
